CRP-prefix,CEP-from,CEP-to,range-prefix,extra-prefix,CRP-from,CRP-to,Notes
AC,69900-000,69999-999,699,,AC00-000,AC99-999,Acre
RR,69300-000,69399-999,693,,RR00-000,RR99-999,Roraima
AP,68900-000,68999-999,689,,AP00-000,AP99-999,Amapá
AM,69000-000,69299-999,69,(?:[0-2]|[4-8]),AM000-000,AM299-999,"Amazonas (parts 1,2)"
AM,69400-000,69899-999,,,AM400-000,AM899-999,Amazonas (part 2)
MA,65000-000,65999-999,65,,MA000-000,MA999-999,Maranhão
PI,64000-000,64999-999,64,,PI000-000,PI999-999,Piauí
CE,60000-000,63999-999,6,[0-3],CE0000-000,CE3999-999,Ceará
PA,66000-000,68899-999,6,(?:[67]|8[0-8]),PA6000-000,PA8899-999,Pará
MS,79000-000,79999-999,79,,MS000-000,MS999-999,Mato Grosso do Sul
MT,78000-000,78899-999,78,[0-8],MT000-000,MT899-999,Mato Grosso
TO,77000-000,77999-999,77,,TO000-000,TO999-999,Tocantins
RO,76800-000,76999-999,76,[89],RO800-000,RO999-999,Rondônia
DF,73000-000,73699-999,7,(?:3[0-6]|[01]|2[0-7]),DF3000-000,DF3699-999,"Distrito Federal (parts 1,2)"
GO,72800-000,72999-999,7,(?:2[8-9]|3[7-9]|[45]|6[0-7]),GO2800-000,GO2999-999,"Goiás (parts 1,2)"
DF,70000-000,72799-999,,,DF0000-000,DF2799-999,Distrito Federal (part 1)
GO,73700-000,76799-999,,,GO3700-000,GO6799-999,Goiás (part 2)
RN,59000-000,59999-999,59,,RN000-000,RN999-999,Rio Grande do Norte
PB,58000-000,58999-999,58,,PB000-000,PB999-999,Paraíba
AL,57000-000,57999-999,57,,AL000-000,AL999-999,Alagoas
PE,50000-000,56999-999,5,[0-6],PE0000-000,PE6999-999,Pernambuco
SE,49000-000,49999-999,49,,SE000-000,SE999-999,Sergipe
BA,40000-000,48999-999,4,[0-8],BA0000-000,BA8999-999,Bahia
ES,29000-000,29999-999,29,,ES000-000,ES999-999,Espírito Santo
RJ,20000-000,28999-999,2,[0-8],RJ0000-000,RJ8999-999,Rio de Janeiro
RS,90000-000,99999-999,9,,RS0000-000,RS9999-999,Rio Grande do Sul
PR,80000-000,87999-999,8,[0-7],PR0000-000,PR7999-999,Paraná
SC,88000-000,89999-999,8,[8-9],SC8000-000,SC9999-999,Santa Catarina
MG,30000-000,39999-999,3,,MG0000-000,MG9999-999,Minas Gerais
SP,11000-000,19999-999,1,,SP1000-000,SP9999-999,São Paulo
ZM,01000-000,09999-999,0,,ZM1000-000,ZM9999-999,"Zona Metropolitana de São Paulo, incluindo suburbios"
