CRP,idx_confirm,idx_ref
RS5010-060,4,OSM-r
RS5010-100,1,OSM-r
RS5010-520,2,OSM-nr
RS5010-550,1,OSM-r
RS5012-340,1,OSM-r
RS5013-000,2,OSM-r
RS5013-060,1,OSM-n
RS5020-170,1,OSM-n
RS5020-172,1,OSM-n
RS5020-360,1,OSM-r
RS5020-371,2,OSM-nr
RS5020-391,1,OSM-n
RS5020-450,1,OSM-r
RS5020-460,1,OSM-r
RS5020-510,2,OSM-r
RS5020-520,1,OSM-r
RS5032-170,1,OSM-r
RS5032-210,1,OSM-r
RS5032-600,1,OSM-r
RS5032-620,3,OSM-nr
RS5034-090,1,OSM-n
RS5034-420,1,OSM-r
RS5034-500,2,OSM-n
RS5040-000,1,OSM-r
RS5043-700,3,OSM-nr
RS5054-780,1,OSM-r
RS5055-160,1,OSM-n
RS5057-130,1,OSM-n
RS5059-520,4,OSM-r
RS5059-529,1,OSM-r
RS5070-070,1,OSM-r
RS5070-410,1,OSM-r
RS5070-560,1,OSM-r
RS5076-420,1,OSM-r
RS5080-150,1,OSM-r
RS5084-000,2,OSM-r
RS5084-470,1,OSM-r
RS5095-265,1,OSM-r
RS5098-752,1,OSM-n
RS5110-000,2,OSM-nr
RS5110-200,1,OSM-n
RS5110-680,1,OSM-r
RS5115-350,1,OSM-n
RS5125-000,4,OSM-n
